pH,TDS,Turbidity,Temperature,Skin_Risk,Is_Potable
9.84,372,4.79,21.9,Eczema / Skin Barrier Damage,0
5.33,89,18.88,26.0,Acidic Irritant Contact Dermatitis,0
5.24,902,17.44,33.3,Acidic Irritant Contact Dermatitis,0
4.24,311,5.86,21.1,Acidic Irritant Contact Dermatitis,0
7.07,619,15.69,31.3,Bacterial / Fungal Infection Risk,0
7.67,599,16.08,33.8,Pseudomonas Folliculitis (Hot Tub Rash),0
4.43,735,19.73,17.4,Acidic Irritant Contact Dermatitis,0
9.04,1153,12.0,28.4,Eczema / Skin Barrier Damage,0
6.95,485,1.73,22.1,Safe (No Skin Risk),1
7.41,1056,12.97,34.6,Pseudomonas Folliculitis (Hot Tub Rash),0
6.86,396,12.54,20.1,Bacterial / Fungal Infection Risk,0
6.6,313,12.8,39.1,Pseudomonas Folliculitis (Hot Tub Rash),0
7.64,1082,6.21,26.6,Safe (No Skin Risk),0
5.01,350,17.21,20.3,Acidic Irritant Contact Dermatitis,0
5.18,909,19.19,26.8,Acidic Irritant Contact Dermatitis,0
9.6,925,4.43,26.0,Eczema / Skin Barrier Damage,0
10.15,193,1.85,26.6,Eczema / Skin Barrier Damage,0
6.43,659,3.97,30.8,Safe (No Skin Risk),0
5.76,922,16.43,29.1,Bacterial / Fungal Infection Risk,0
8.19,836,13.57,19.0,Severe Xerosis (Dry Skin Risk),0
6.66,164,12.76,16.8,Bacterial / Fungal Infection Risk,0
4.17,658,8.1,34.7,Acidic Irritant Contact Dermatitis,0
5.01,284,11.6,30.1,Acidic Irritant Contact Dermatitis,0
8.65,887,6.23,24.7,Eczema / Skin Barrier Damage,0
8.28,489,9.6,36.8,Safe (No Skin Risk),0
4.18,969,15.88,25.5,Acidic Irritant Contact Dermatitis,0
5.44,559,19.63,36.5,Acidic Irritant Contact Dermatitis,0
5.5,401,18.66,23.3,Bacterial / Fungal Infection Risk,0
8.37,47,18.68,17.0,Bacterial / Fungal Infection Risk,0
4.13,517,8.1,40.2,Acidic Irritant Contact Dermatitis,0
4.68,534,9.43,25.7,Acidic Irritant Contact Dermatitis,0
9.2,872,14.14,36.4,Eczema / Skin Barrier Damage,0
5.16,1102,18.45,22.5,Acidic Irritant Contact Dermatitis,0
8.24,632,2.93,32.5,Severe Xerosis (Dry Skin Risk),0
5.55,226,6.15,38.6,Safe (No Skin Risk),0
4.65,793,2.87,16.1,Acidic Irritant Contact Dermatitis,0
5.58,132,12.28,37.4,Pseudomonas Folliculitis (Hot Tub Rash),0
8.69,125,6.2,30.4,Eczema / Skin Barrier Damage,0
9.56,1107,6.59,31.4,Eczema / Skin Barrier Damage,0
9.4,176,1.51,29.1,Eczema / Skin Barrier Damage,0
6.58,460,7.06,38.6,Safe (No Skin Risk),0
8.34,113,17.26,16.2,Bacterial / Fungal Infection Risk,0
5.33,210,4.74,22.0,Acidic Irritant Contact Dermatitis,0
5.91,209,13.93,38.6,Pseudomonas Folliculitis (Hot Tub Rash),0
9.83,911,12.63,35.3,Eczema / Skin Barrier Damage,0
4.08,361,17.28,15.5,Acidic Irritant Contact Dermatitis,0
4.56,495,2.73,29.0,Acidic Irritant Contact Dermatitis,0
5.35,983,19.55,29.3,Acidic Irritant Contact Dermatitis,0
4.17,829,11.69,25.8,Acidic Irritant Contact Dermatitis,0
5.18,652,19.91,23.0,Acidic Irritant Contact Dermatitis,0
7.79,928,18.24,33.4,Pseudomonas Folliculitis (Hot Tub Rash),0
6.74,388,4.51,20.6,Safe (No Skin Risk),1
9.8,49,1.22,36.6,Eczema / Skin Barrier Damage,0
9.31,779,5.19,36.7,Eczema / Skin Barrier Damage,0
6.22,706,10.6,26.2,Bacterial / Fungal Infection Risk,0
5.69,585,3.51,22.7,Safe (No Skin Risk),0
6.47,168,3.43,22.7,Safe (No Skin Risk),0
7.84,640,9.31,28.0,Safe (No Skin Risk),0
5.74,644,0.76,34.4,Safe (No Skin Risk),0
8.06,366,2.53,24.7,Safe (No Skin Risk),1
6.66,1019,8.38,31.5,Safe (No Skin Risk),0
7.59,443,1.36,25.3,Safe (No Skin Risk),1
6.83,668,8.0,23.2,Safe (No Skin Risk),0
5.91,757,9.53,15.7,Safe (No Skin Risk),0
10.16,1080,9.08,15.1,Eczema / Skin Barrier Damage,0
8.96,313,17.4,21.1,Eczema / Skin Barrier Damage,0
4.91,724,10.65,26.0,Acidic Irritant Contact Dermatitis,0
9.65,155,9.41,38.0,Eczema / Skin Barrier Damage,0
7.17,900,8.27,36.6,Safe (No Skin Risk),0
9.81,732,16.37,22.2,Eczema / Skin Barrier Damage,0
9.2,1154,17.91,21.6,Eczema / Skin Barrier Damage,0
6.76,1145,17.08,21.1,Bacterial / Fungal Infection Risk,0
4.15,363,13.5,24.2,Acidic Irritant Contact Dermatitis,0
5.75,1000,2.83,28.5,Safe (No Skin Risk),0
7.52,153,5.61,26.8,Safe (No Skin Risk),0
8.12,1121,1.02,20.9,Severe Xerosis (Dry Skin Risk),0
5.68,193,18.62,18.5,Bacterial / Fungal Infection Risk,0
4.91,354,13.25,15.3,Acidic Irritant Contact Dermatitis,0
9.43,1104,14.95,19.2,Eczema / Skin Barrier Damage,0
10.4,144,6.3,34.0,Eczema / Skin Barrier Damage,0
7.42,393,16.93,21.6,Bacterial / Fungal Infection Risk,0
5.12,1055,5.27,27.7,Acidic Irritant Contact Dermatitis,0
5.77,772,0.13,31.0,Safe (No Skin Risk),0
4.12,748,7.59,38.9,Acidic Irritant Contact Dermatitis,0
9.94,690,11.46,39.0,Eczema / Skin Barrier Damage,0
4.77,863,9.63,35.1,Acidic Irritant Contact Dermatitis,0
7.75,986,17.26,15.9,Bacterial / Fungal Infection Risk,0
5.78,700,2.2,30.5,Safe (No Skin Risk),0
7.6,138,11.12,36.2,Pseudomonas Folliculitis (Hot Tub Rash),0
8.23,627,10.31,15.5,Severe Xerosis (Dry Skin Risk),0
9.39,321,5.7,29.8,Eczema / Skin Barrier Damage,0
5.34,442,16.46,38.2,Acidic Irritant Contact Dermatitis,0
4.07,1172,15.08,27.8,Acidic Irritant Contact Dermatitis,0
4.89,739,14.68,15.1,Acidic Irritant Contact Dermatitis,0
9.85,238,17.54,15.3,Eczema / Skin Barrier Damage,0
9.68,366,14.48,26.2,Eczema / Skin Barrier Damage,0
7.88,193,4.71,19.2,Safe (No Skin Risk),1
7.9,591,14.14,32.9,Pseudomonas Folliculitis (Hot Tub Rash),0
8.32,444,6.22,34.1,Safe (No Skin Risk),0
5.14,501,4.92,19.8,Acidic Irritant Contact Dermatitis,0
9.94,171,1.55,39.0,Eczema / Skin Barrier Damage,0
6.72,830,14.91,26.9,Bacterial / Fungal Infection Risk,0
6.49,913,14.25,18.9,Bacterial / Fungal Infection Risk,0
7.37,123,4.77,35.6,Safe (No Skin Risk),1
4.31,793,15.01,36.3,Acidic Irritant Contact Dermatitis,0
5.08,667,18.37,32.3,Acidic Irritant Contact Dermatitis,0
8.8,1172,2.25,38.0,Eczema / Skin Barrier Damage,0
4.54,260,4.73,34.9,Acidic Irritant Contact Dermatitis,0
7.92,592,15.03,38.8,Pseudomonas Folliculitis (Hot Tub Rash),0
5.59,151,5.56,26.7,Safe (No Skin Risk),0
6.53,654,12.53,35.2,Pseudomonas Folliculitis (Hot Tub Rash),0
5.88,963,1.72,42.0,Safe (No Skin Risk),0
6.31,514,9.1,34.6,Safe (No Skin Risk),0
8.67,875,14.81,18.1,Eczema / Skin Barrier Damage,0
5.93,310,13.76,29.0,Bacterial / Fungal Infection Risk,0
7.68,460,16.32,30.9,Bacterial / Fungal Infection Risk,0
7.09,746,17.56,19.7,Bacterial / Fungal Infection Risk,0
8.31,79,15.49,41.0,Pseudomonas Folliculitis (Hot Tub Rash),0
10.09,228,13.46,19.7,Eczema / Skin Barrier Damage,0
8.76,1033,0.73,19.8,Eczema / Skin Barrier Damage,0
5.4,575,10.75,39.7,Acidic Irritant Contact Dermatitis,0
4.2,1067,0.85,27.6,Acidic Irritant Contact Dermatitis,0
5.7,329,16.18,16.7,Bacterial / Fungal Infection Risk,0
7.87,472,6.48,31.2,Safe (No Skin Risk),0
4.33,510,11.29,31.2,Acidic Irritant Contact Dermatitis,0
7.23,667,5.66,16.7,Safe (No Skin Risk),0
7.88,318,15.67,41.3,Pseudomonas Folliculitis (Hot Tub Rash),0
6.17,916,17.74,29.7,Bacterial / Fungal Infection Risk,0
9.01,620,8.03,30.1,Eczema / Skin Barrier Damage,0
4.69,902,17.27,29.0,Acidic Irritant Contact Dermatitis,0
4.49,293,5.41,31.5,Acidic Irritant Contact Dermatitis,0
8.73,220,10.74,22.1,Eczema / Skin Barrier Damage,0
7.22,720,17.19,22.8,Bacterial / Fungal Infection Risk,0
8.47,864,6.59,28.8,Severe Xerosis (Dry Skin Risk),0
6.83,739,19.09,36.8,Pseudomonas Folliculitis (Hot Tub Rash),0
5.6,605,2.53,16.3,Safe (No Skin Risk),0
9.32,719,0.46,31.3,Eczema / Skin Barrier Damage,0
9.2,430,18.09,36.8,Eczema / Skin Barrier Damage,0
8.52,1148,1.47,19.2,Eczema / Skin Barrier Damage,0
5.77,251,19.84,15.4,Bacterial / Fungal Infection Risk,0
7.84,423,19.03,23.4,Bacterial / Fungal Infection Risk,0
6.35,381,2.83,30.9,Safe (No Skin Risk),0
4.6,883,10.8,18.7,Acidic Irritant Contact Dermatitis,0
9.96,1101,3.78,26.5,Eczema / Skin Barrier Damage,0
4.89,459,8.62,29.9,Acidic Irritant Contact Dermatitis,0
10.18,790,1.32,31.2,Eczema / Skin Barrier Damage,0
6.9,345,4.56,22.4,Safe (No Skin Risk),1
5.2,741,7.33,25.8,Acidic Irritant Contact Dermatitis,0
7.52,908,8.83,36.0,Safe (No Skin Risk),0
9.67,576,19.55,40.4,Eczema / Skin Barrier Damage,0
8.76,1175,16.18,38.3,Eczema / Skin Barrier Damage,0
9.24,245,14.77,30.2,Eczema / Skin Barrier Damage,0
8.28,535,10.79,26.1,Bacterial / Fungal Infection Risk,0
8.5,1110,16.82,24.0,Severe Xerosis (Dry Skin Risk),0
9.52,543,6.85,18.4,Eczema / Skin Barrier Damage,0
5.62,1085,14.21,17.9,Bacterial / Fungal Infection Risk,0
7.18,252,19.88,33.6,Pseudomonas Folliculitis (Hot Tub Rash),0
5.44,349,6.36,22.0,Acidic Irritant Contact Dermatitis,0
10.42,700,13.51,21.9,Eczema / Skin Barrier Damage,0
10.14,792,16.9,42.0,Eczema / Skin Barrier Damage,0
4.26,311,18.32,20.1,Acidic Irritant Contact Dermatitis,0
8.59,977,14.39,19.0,Eczema / Skin Barrier Damage,0
10.01,71,5.74,17.7,Eczema / Skin Barrier Damage,0
5.17,482,6.59,30.7,Acidic Irritant Contact Dermatitis,0
7.69,201,0.51,32.0,Safe (No Skin Risk),1
9.95,806,15.24,24.9,Eczema / Skin Barrier Damage,0
4.22,293,0.95,29.5,Acidic Irritant Contact Dermatitis,0
8.53,560,17.31,36.3,Eczema / Skin Barrier Damage,0
5.93,1016,2.46,37.1,Safe (No Skin Risk),0
10.01,49,3.52,40.9,Eczema / Skin Barrier Damage,0
10.31,765,9.58,37.3,Eczema / Skin Barrier Damage,0
10.14,544,14.78,30.3,Eczema / Skin Barrier Damage,0
7.08,824,2.87,19.9,Safe (No Skin Risk),0
9.6,475,8.86,17.7,Eczema / Skin Barrier Damage,0
9.49,1174,9.71,16.5,Eczema / Skin Barrier Damage,0
6.07,192,4.32,33.0,Safe (No Skin Risk),0
9.39,956,2.4,36.8,Eczema / Skin Barrier Damage,0
4.24,908,16.74,28.7,Acidic Irritant Contact Dermatitis,0
7.88,1165,10.1,16.5,Bacterial / Fungal Infection Risk,0
5.5,792,0.39,29.5,Safe (No Skin Risk),0
4.78,602,16.08,40.3,Acidic Irritant Contact Dermatitis,0
4.5,1144,19.62,31.1,Acidic Irritant Contact Dermatitis,0
8.53,528,12.16,36.9,Eczema / Skin Barrier Damage,0
6.21,934,10.12,36.6,Pseudomonas Folliculitis (Hot Tub Rash),0
8.71,1151,17.58,40.2,Eczema / Skin Barrier Damage,0
4.42,143,19.06,35.8,Acidic Irritant Contact Dermatitis,0
6.05,1159,15.12,35.2,Pseudomonas Folliculitis (Hot Tub Rash),0
7.51,1064,8.96,21.3,Safe (No Skin Risk),0
9.14,1046,11.89,16.6,Eczema / Skin Barrier Damage,0
6.07,446,14.05,29.0,Bacterial / Fungal Infection Risk,0
8.07,206,3.97,18.4,Safe (No Skin Risk),1
9.76,548,9.0,41.0,Eczema / Skin Barrier Damage,0
8.0,352,16.61,22.8,Bacterial / Fungal Infection Risk,0
5.51,802,13.13,38.0,Pseudomonas Folliculitis (Hot Tub Rash),0
4.16,720,8.28,25.5,Acidic Irritant Contact Dermatitis,0
9.66,516,13.3,23.7,Eczema / Skin Barrier Damage,0
4.14,112,2.45,40.2,Acidic Irritant Contact Dermatitis,0
9.69,621,8.09,24.8,Eczema / Skin Barrier Damage,0
7.44,301,15.88,25.5,Bacterial / Fungal Infection Risk,0
10.1,284,4.49,17.9,Eczema / Skin Barrier Damage,0
9.19,600,3.8,33.1,Eczema / Skin Barrier Damage,0
10.49,1139,19.02,22.8,Eczema / Skin Barrier Damage,0
6.28,214,4.28,30.8,Safe (No Skin Risk),0
8.99,148,5.29,31.0,Eczema / Skin Barrier Damage,0
6.61,222,19.4,34.4,Pseudomonas Folliculitis (Hot Tub Rash),0
7.12,231,14.72,35.1,Pseudomonas Folliculitis (Hot Tub Rash),0
8.08,104,14.02,28.9,Bacterial / Fungal Infection Risk,0
9.68,1002,17.07,23.9,Eczema / Skin Barrier Damage,0
10.4,1163,2.4,37.6,Eczema / Skin Barrier Damage,0
8.99,903,14.15,23.4,Eczema / Skin Barrier Damage,0
6.72,1191,10.12,28.7,Bacterial / Fungal Infection Risk,0
6.74,408,16.6,25.8,Bacterial / Fungal Infection Risk,0
8.79,890,10.21,38.1,Eczema / Skin Barrier Damage,0
5.55,82,12.44,26.7,Bacterial / Fungal Infection Risk,0
4.72,527,9.61,25.4,Acidic Irritant Contact Dermatitis,0
6.31,117,9.62,33.6,Safe (No Skin Risk),0
5.87,865,15.38,31.3,Bacterial / Fungal Infection Risk,0
5.93,713,12.61,17.9,Bacterial / Fungal Infection Risk,0
5.52,740,12.7,28.7,Bacterial / Fungal Infection Risk,0
4.27,798,9.06,34.9,Acidic Irritant Contact Dermatitis,0
4.12,767,10.67,41.8,Acidic Irritant Contact Dermatitis,0
10.42,964,14.94,32.0,Eczema / Skin Barrier Damage,0
6.78,941,16.54,25.0,Bacterial / Fungal Infection Risk,0
6.5,928,13.96,21.1,Bacterial / Fungal Infection Risk,0
8.42,1032,18.49,38.6,Severe Xerosis (Dry Skin Risk),0
5.42,378,16.42,37.0,Acidic Irritant Contact Dermatitis,0
10.17,232,11.28,21.3,Eczema / Skin Barrier Damage,0
9.11,322,13.46,20.4,Eczema / Skin Barrier Damage,0
4.58,429,18.53,34.3,Acidic Irritant Contact Dermatitis,0
6.71,1039,12.42,23.5,Bacterial / Fungal Infection Risk,0
9.71,564,16.51,23.3,Eczema / Skin Barrier Damage,0
10.14,698,13.81,19.1,Eczema / Skin Barrier Damage,0
7.04,755,11.08,22.1,Bacterial / Fungal Infection Risk,0
7.99,930,4.91,26.5,Safe (No Skin Risk),0
5.09,1152,8.58,34.8,Acidic Irritant Contact Dermatitis,0
10.44,1158,19.36,24.1,Eczema / Skin Barrier Damage,0
5.51,491,13.19,23.9,Bacterial / Fungal Infection Risk,0
10.13,467,11.33,22.7,Eczema / Skin Barrier Damage,0
8.22,1085,18.67,27.9,Severe Xerosis (Dry Skin Risk),0
7.95,922,11.77,19.9,Bacterial / Fungal Infection Risk,0
7.33,352,10.57,28.1,Bacterial / Fungal Infection Risk,0
5.5,879,15.21,34.0,Pseudomonas Folliculitis (Hot Tub Rash),0
5.15,558,14.28,15.8,Acidic Irritant Contact Dermatitis,0
5.43,414,3.94,15.3,Acidic Irritant Contact Dermatitis,0
5.21,490,9.48,17.0,Acidic Irritant Contact Dermatitis,0
9.07,1054,9.5,29.5,Eczema / Skin Barrier Damage,0
6.28,634,7.63,38.1,Safe (No Skin Risk),0
4.38,539,10.39,15.1,Acidic Irritant Contact Dermatitis,0
10.3,503,8.32,40.3,Eczema / Skin Barrier Damage,0
9.74,1187,4.07,17.9,Eczema / Skin Barrier Damage,0
10.03,152,8.31,37.7,Eczema / Skin Barrier Damage,0
10.47,1075,1.54,28.0,Eczema / Skin Barrier Damage,0
5.13,1189,11.56,32.8,Acidic Irritant Contact Dermatitis,0
6.58,370,17.09,28.8,Bacterial / Fungal Infection Risk,0
8.93,179,14.53,27.9,Eczema / Skin Barrier Damage,0
8.52,941,7.27,37.5,Eczema / Skin Barrier Damage,0
5.0,1160,1.83,35.4,Acidic Irritant Contact Dermatitis,0
9.3,556,4.12,28.1,Eczema / Skin Barrier Damage,0
5.46,608,10.96,18.0,Acidic Irritant Contact Dermatitis,0
5.45,885,4.22,18.1,Acidic Irritant Contact Dermatitis,0
7.49,1132,10.93,36.6,Pseudomonas Folliculitis (Hot Tub Rash),0
7.85,157,4.71,29.3,Safe (No Skin Risk),1
7.77,927,16.99,28.0,Bacterial / Fungal Infection Risk,0
4.59,1122,8.01,33.4,Acidic Irritant Contact Dermatitis,0
9.7,1096,4.99,38.2,Eczema / Skin Barrier Damage,0
5.73,89,16.27,32.0,Bacterial / Fungal Infection Risk,0
4.84,58,6.92,35.6,Acidic Irritant Contact Dermatitis,0
9.78,765,2.32,35.7,Eczema / Skin Barrier Damage,0
10.21,236,11.45,24.6,Eczema / Skin Barrier Damage,0
9.6,598,11.67,22.4,Eczema / Skin Barrier Damage,0
9.26,491,14.32,36.6,Eczema / Skin Barrier Damage,0
8.26,328,4.88,25.2,Safe (No Skin Risk),1
7.58,1147,8.93,39.4,Safe (No Skin Risk),0
4.57,430,5.72,16.9,Acidic Irritant Contact Dermatitis,0
6.65,254,1.71,16.6,Safe (No Skin Risk),1
6.42,254,17.54,40.0,Pseudomonas Folliculitis (Hot Tub Rash),0
5.69,167,14.6,32.5,Pseudomonas Folliculitis (Hot Tub Rash),0
8.7,799,6.1,25.2,Eczema / Skin Barrier Damage,0
7.22,443,12.03,35.4,Pseudomonas Folliculitis (Hot Tub Rash),0
4.53,1092,4.11,33.2,Acidic Irritant Contact Dermatitis,0
5.43,377,17.82,29.3,Acidic Irritant Contact Dermatitis,0
8.44,870,2.39,17.7,Severe Xerosis (Dry Skin Risk),0
4.49,753,0.18,36.9,Acidic Irritant Contact Dermatitis,0
9.53,400,10.09,38.4,Eczema / Skin Barrier Damage,0
7.22,608,11.7,19.6,Bacterial / Fungal Infection Risk,0
7.12,257,11.62,38.0,Pseudomonas Folliculitis (Hot Tub Rash),0
7.85,241,1.18,38.7,Safe (No Skin Risk),1
9.36,56,6.35,29.8,Eczema / Skin Barrier Damage,0
6.26,361,10.03,32.7,Pseudomonas Folliculitis (Hot Tub Rash),0
8.41,557,4.41,25.3,Safe (No Skin Risk),0
7.68,720,17.47,22.6,Bacterial / Fungal Infection Risk,0
5.74,1145,1.83,34.5,Safe (No Skin Risk),0
9.71,464,9.8,38.3,Eczema / Skin Barrier Damage,0
9.18,1058,13.86,32.7,Eczema / Skin Barrier Damage,0
8.28,426,5.31,28.8,Safe (No Skin Risk),0
9.53,817,12.52,19.3,Eczema / Skin Barrier Damage,0
9.64,137,16.6,16.4,Eczema / Skin Barrier Damage,0
8.6,247,3.89,27.0,Eczema / Skin Barrier Damage,0
9.44,625,18.35,16.3,Eczema / Skin Barrier Damage,0
8.53,205,11.12,30.4,Eczema / Skin Barrier Damage,0
8.42,61,6.05,25.3,Safe (No Skin Risk),0
8.02,193,8.67,35.4,Safe (No Skin Risk),0
8.89,258,6.31,23.3,Eczema / Skin Barrier Damage,0
5.03,708,14.53,31.0,Acidic Irritant Contact Dermatitis,0
9.73,269,15.95,29.5,Eczema / Skin Barrier Damage,0
9.67,59,16.68,15.1,Eczema / Skin Barrier Damage,0
4.19,592,19.72,17.0,Acidic Irritant Contact Dermatitis,0
9.37,989,15.85,22.8,Eczema / Skin Barrier Damage,0
4.84,187,12.07,38.8,Acidic Irritant Contact Dermatitis,0
6.18,1171,6.85,19.0,Safe (No Skin Risk),0
8.83,442,10.94,34.2,Eczema / Skin Barrier Damage,0
5.04,635,0.92,41.3,Acidic Irritant Contact Dermatitis,0
9.32,406,14.92,36.3,Eczema / Skin Barrier Damage,0
9.41,841,8.97,21.6,Eczema / Skin Barrier Damage,0
7.3,957,0.5,39.5,Safe (No Skin Risk),0
4.04,1197,1.34,17.5,Acidic Irritant Contact Dermatitis,0
5.87,112,7.81,27.6,Safe (No Skin Risk),0
8.01,520,11.71,39.0,Pseudomonas Folliculitis (Hot Tub Rash),0
10.38,599,9.34,32.3,Eczema / Skin Barrier Damage,0
8.11,784,12.42,26.2,Severe Xerosis (Dry Skin Risk),0
5.69,139,9.66,22.9,Safe (No Skin Risk),0
8.12,1122,13.27,25.1,Severe Xerosis (Dry Skin Risk),0
7.51,547,4.46,28.7,Safe (No Skin Risk),0
9.07,297,2.35,23.6,Eczema / Skin Barrier Damage,0
4.7,452,11.97,41.2,Acidic Irritant Contact Dermatitis,0
8.95,1128,9.75,40.2,Eczema / Skin Barrier Damage,0
7.52,634,0.63,38.5,Safe (No Skin Risk),0
10.26,305,7.67,26.4,Eczema / Skin Barrier Damage,0
6.22,860,2.21,33.7,Safe (No Skin Risk),0
8.11,1142,10.67,39.4,Severe Xerosis (Dry Skin Risk),0
10.06,701,7.98,38.0,Eczema / Skin Barrier Damage,0
4.67,986,12.3,26.2,Acidic Irritant Contact Dermatitis,0
10.09,599,16.13,18.0,Eczema / Skin Barrier Damage,0
8.47,956,6.06,17.0,Severe Xerosis (Dry Skin Risk),0
4.44,930,19.25,30.6,Acidic Irritant Contact Dermatitis,0
5.96,907,10.76,32.4,Pseudomonas Folliculitis (Hot Tub Rash),0
8.6,649,12.4,37.9,Eczema / Skin Barrier Damage,0
4.44,453,13.65,22.9,Acidic Irritant Contact Dermatitis,0
7.78,64,13.37,19.5,Bacterial / Fungal Infection Risk,0
6.25,323,10.27,25.2,Bacterial / Fungal Infection Risk,0
8.04,920,8.63,24.5,Severe Xerosis (Dry Skin Risk),0
4.3,340,1.17,18.6,Acidic Irritant Contact Dermatitis,0
9.66,1131,0.54,33.2,Eczema / Skin Barrier Damage,0
10.33,1070,7.22,28.7,Eczema / Skin Barrier Damage,0
10.3,856,6.74,34.5,Eczema / Skin Barrier Damage,0
8.87,122,7.82,24.5,Eczema / Skin Barrier Damage,0
4.85,1136,2.85,23.8,Acidic Irritant Contact Dermatitis,0
8.93,85,14.79,27.8,Eczema / Skin Barrier Damage,0
4.16,657,17.15,38.7,Acidic Irritant Contact Dermatitis,0
4.14,967,18.78,16.1,Acidic Irritant Contact Dermatitis,0
6.1,301,9.9,36.7,Safe (No Skin Risk),0
7.18,215,14.05,25.0,Bacterial / Fungal Infection Risk,0
9.01,696,17.13,38.1,Eczema / Skin Barrier Damage,0
8.44,881,8.42,36.7,Severe Xerosis (Dry Skin Risk),0
6.9,409,6.26,24.4,Safe (No Skin Risk),0
5.78,93,18.74,33.7,Pseudomonas Folliculitis (Hot Tub Rash),0
10.48,729,10.36,19.3,Eczema / Skin Barrier Damage,0
6.77,1190,10.0,39.2,Safe (No Skin Risk),0
6.93,406,3.65,25.9,Safe (No Skin Risk),1
5.06,683,2.25,27.3,Acidic Irritant Contact Dermatitis,0
9.17,418,16.86,34.1,Eczema / Skin Barrier Damage,0
8.51,112,12.32,37.2,Eczema / Skin Barrier Damage,0
5.44,954,6.58,21.4,Acidic Irritant Contact Dermatitis,0
4.54,899,3.92,32.9,Acidic Irritant Contact Dermatitis,0
8.42,82,11.15,25.6,Bacterial / Fungal Infection Risk,0
8.25,416,11.72,25.0,Bacterial / Fungal Infection Risk,0
5.78,1104,4.22,33.6,Safe (No Skin Risk),0
10.18,209,17.04,25.5,Eczema / Skin Barrier Damage,0
4.98,251,1.78,24.3,Acidic Irritant Contact Dermatitis,0
6.81,78,7.19,37.6,Safe (No Skin Risk),0
10.13,408,13.64,17.7,Eczema / Skin Barrier Damage,0
6.73,796,5.55,33.2,Safe (No Skin Risk),0
8.15,190,16.57,21.7,Bacterial / Fungal Infection Risk,0
6.58,1174,14.82,15.4,Bacterial / Fungal Infection Risk,0
5.78,1110,15.8,19.5,Bacterial / Fungal Infection Risk,0
10.4,1063,2.47,31.4,Eczema / Skin Barrier Damage,0
6.66,776,2.9,34.1,Safe (No Skin Risk),0
9.81,108,5.8,15.6,Eczema / Skin Barrier Damage,0
5.49,338,10.41,16.0,Acidic Irritant Contact Dermatitis,0
5.39,983,14.99,39.4,Acidic Irritant Contact Dermatitis,0
4.2,841,16.75,17.0,Acidic Irritant Contact Dermatitis,0
8.24,335,14.12,39.1,Pseudomonas Folliculitis (Hot Tub Rash),0
6.4,242,18.58,21.2,Bacterial / Fungal Infection Risk,0
9.62,100,14.8,35.0,Eczema / Skin Barrier Damage,0
7.08,985,6.19,23.4,Safe (No Skin Risk),0
10.29,1002,5.38,38.2,Eczema / Skin Barrier Damage,0
5.21,370,13.95,33.9,Acidic Irritant Contact Dermatitis,0
9.65,377,3.94,25.8,Eczema / Skin Barrier Damage,0
9.05,678,1.95,17.1,Eczema / Skin Barrier Damage,0
9.01,314,10.69,34.8,Eczema / Skin Barrier Damage,0
9.49,358,16.45,31.7,Eczema / Skin Barrier Damage,0
8.95,628,2.12,15.1,Eczema / Skin Barrier Damage,0
8.07,543,15.86,15.3,Bacterial / Fungal Infection Risk,0
4.85,426,16.25,36.8,Acidic Irritant Contact Dermatitis,0
4.21,909,9.7,22.0,Acidic Irritant Contact Dermatitis,0
9.99,872,1.24,32.2,Eczema / Skin Barrier Damage,0
8.01,1054,3.57,27.3,Severe Xerosis (Dry Skin Risk),0
9.18,642,14.18,38.3,Eczema / Skin Barrier Damage,0
7.13,730,14.26,39.8,Pseudomonas Folliculitis (Hot Tub Rash),0
4.76,533,17.98,41.9,Acidic Irritant Contact Dermatitis,0
4.81,529,11.7,19.1,Acidic Irritant Contact Dermatitis,0
8.46,760,2.57,38.3,Severe Xerosis (Dry Skin Risk),0
6.8,1136,2.52,22.2,Safe (No Skin Risk),0
5.3,548,14.45,31.0,Acidic Irritant Contact Dermatitis,0
7.2,429,3.76,28.7,Safe (No Skin Risk),1
4.42,334,6.63,15.5,Acidic Irritant Contact Dermatitis,0
7.78,835,9.8,40.2,Safe (No Skin Risk),0
5.75,904,0.59,17.1,Safe (No Skin Risk),0
9.18,588,5.05,33.6,Eczema / Skin Barrier Damage,0
6.02,688,8.22,36.2,Safe (No Skin Risk),0
6.96,607,5.66,36.5,Safe (No Skin Risk),0
4.08,892,2.81,18.7,Acidic Irritant Contact Dermatitis,0
4.47,809,14.59,27.1,Acidic Irritant Contact Dermatitis,0
6.55,484,16.28,37.4,Pseudomonas Folliculitis (Hot Tub Rash),0
7.12,402,5.22,23.2,Safe (No Skin Risk),0
7.9,162,15.51,27.6,Bacterial / Fungal Infection Risk,0
5.9,781,7.77,22.4,Safe (No Skin Risk),0
8.52,719,10.18,27.5,Eczema / Skin Barrier Damage,0
9.59,459,17.13,39.0,Eczema / Skin Barrier Damage,0
9.07,131,15.02,27.3,Eczema / Skin Barrier Damage,0
4.26,102,16.12,30.0,Acidic Irritant Contact Dermatitis,0
7.12,551,2.82,25.9,Safe (No Skin Risk),0
4.68,811,1.49,27.4,Acidic Irritant Contact Dermatitis,0
5.57,295,17.88,15.4,Bacterial / Fungal Infection Risk,0
10.41,174,7.82,22.7,Eczema / Skin Barrier Damage,0
4.93,914,5.83,26.8,Acidic Irritant Contact Dermatitis,0
